R,G,B
17,38,30
16,37,29
15,36,28
14,35,27
11,34,26
11,34,26
11,35,25
12,36,26
11,35,25
11,35,25
10,35,25
10,35,25
11,37,24
12,38,25
13,39,26
13,39,25
13,42,27
13,42,26
13,42,26
14,43,27
13,45,28
13,45,28
12,46,29
12,46,29
13,47,30
13,47,30
11,47,30
10,46,29
11,47,30
12,48,31
12,50,32
13,51,33
8,49,28
8,49,28
9,50,29
10,51,30
11,52,31
11,52,31
11,52,31
11,52,31
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
11,52,31
11,52,31
11,52,31
13,54,33
13,54,33
13,54,33
13,54,33
13,54,33
12,53,32
11,52,31
11,52,31
15,54,33
14,53,32
13,52,31
12,51,30
11,50,29
11,50,29
11,50,29
12,51,30
11,50,29
11,50,29
11,50,29
10,49,28
9,48,27
8,47,26
8,45,25
8,45,25
14,49,29
13,48,28
12,47,27
11,46,26
13,45,26
13,45,26
13,45,26
13,45,26
11,43,24
12,44,25
12,44,25
12,44,25
13,45,26
13,45,26
13,45,26
13,45,26
13,45,26
13,45,26
14,46,27
14,46,27
14,46,27
15,47,28
15,47,28
13,48,28
15,50,30
13,50,30
13,50,30
14,51,31
14,51,31
15,52,32
15,52,32
16,53,33
18,57,36
17,56,35
16,55,34
16,55,34
16,55,34
18,57,36
19,58,37
21,60,39
18,60,37
18,60,37
18,60,37
18,60,37
19,61,38
19,61,38
20,62,39
20,62,39
19,61,38
19,61,38
20,62,39
20,62,39
21,63,40
21,63,40
22,64,41
22,64,41
20,62,39
20,62,39
21,63,40
20,62,39
20,62,39
19,61,38
19,61,38
18,60,37
21,63,40
20,62,39
19,61,38
18,60,37
18,60,37
18,60,37
19,61,38
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
21,63,40
21,63,40
21,63,40
21,63,40
20,62,39
20,62,39
19,61,36
19,61,36
20,62,37
21,63,38
22,64,39
23,65,40
24,66,43
25,67,44
24,68,45
24,68,45
24,68,45
23,67,44
21,64,43
21,64,43
23,66,45
22,68,46
22,68,46
20,67,45
19,66,44
19,66,44
20,67,45
22,69,47
22,69,47
22,69,47
24,71,49
24,71,49
24,71,49
23,70,48
22,69,47
20,67,45
19,66,44
18,65,43
23,71,47
23,71,47
23,71,47
23,71,47
23,71,47
23,71,47
23,71,47
23,71,47
24,72,48
24,72,48
24,72,48
23,71,47
23,71,47
23,71,47
23,71,47
23,71,47
23,70,44
23,70,44
22,68,45
21,67,44
21,67,44
21,67,44
21,67,44
21,67,44
21,65,42
22,66,43
23,66,45
22,65,44
20,63,42
18,61,40
19,62,41
20,63,42
22,61,40
21,60,39
20,59,38
19,58,37
21,58,38
21,58,38
20,57,37
18,55,35
21,56,36
21,56,36
22,54,35
21,53,34
20,52,33
20,52,33
21,51,32
21,51,32
21,51,32
20,50,31
20,50,31
19,49,30
19,48,32
18,47,31
18,47,31
18,47,31
19,46,30
19,46,30
19,45,31
18,44,30
17,43,29
16,42,28
15,41,27
16,41,27
18,39,30
19,38,29
17,36,27
16,35,26
15,34,25
15,34,25
15,34,25
16,35,26
17,34,25
16,33,24
16,33,24
15,32,23
14,31,22
14,31,22
14,31,22
14,31,22
12,28,21
11,27,20
10,26,19
10,26,19
11,27,20
11,27,20
10,26,19
9,25,18
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
9,25,18
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
9,25,18
11,27,20
11,27,20
10,26,19
10,26,19
10,26,19
10,26,19
11,27,20
11,27,20
11,27,20
10,26,19
10,26,19
9,25,18
10,24,18
10,24,18
11,25,19
11,25,19
13,27,21
14,28,22
13,29,22
14,30,23
13,31,24
13,31,24
11,32,24
9,32,24
10,34,24
10,35,25
11,36,26
12,37,27
14,38,30
15,39,31
16,40,32
16,40,32
14,41,32
14,41,32
15,41,35
16,42,36
17,43,37
17,43,37
17,43,37
17,43,37
16,43,40
16,43,40
16,43,40
16,43,40
17,44,41
17,44,41
18,44,44
19,45,45
19,43,43
19,43,43
20,43,45
20,43,45
20,43,45
20,43,45
20,43,45
20,43,45
26,45,48
26,45,48
25,46,48
25,46,48
24,47,49
23,48,50
24,49,51
20,50,51
19,49,50
15,49,49
13,47,47
10,46,46
9,47,47
11,49,49
13,53,52
15,55,54
20,58,58
22,60,60
25,63,63
26,66,65
28,67,69
26,70,71
28,72,73
28,74,75
31,79,80
32,82,82
34,83,85
33,87,88
35,89,90
35,91,92
38,94,95
40,97,98
40,97,98
39,99,99
38,100,100
40,102,102
38,103,101
38,103,101
36,103,100
36,103,100
33,103,97
35,105,99
37,107,101
37,107,101
38,106,99
38,106,99
39,107,100
40,108,101
15,36,28
15,36,28
14,35,27
13,34,26
10,33,25
10,33,25
11,35,25
11,35,25
12,36,26
12,36,26
11,36,26
11,36,26
11,37,24
12,38,25
13,39,26
14,40,26
13,42,27
13,42,26
13,42,26
14,43,27
13,45,28
13,45,28
12,46,29
12,46,29
13,47,30
13,47,30
11,47,30
11,47,30
11,47,30
12,48,31
12,50,32
12,50,32
9,50,29
9,50,29
10,51,30
11,52,31
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
13,54,33
13,54,33
13,54,33
13,54,33
13,54,33
12,53,32
11,52,31
11,52,31
15,54,33
14,53,32
13,52,31
12,51,30
12,51,30
11,50,29
12,51,30
12,51,30
12,51,30
12,51,30
12,51,30
11,50,29
11,50,29
10,49,28
10,47,27
9,46,26
13,48,28
13,48,28
12,47,27
11,46,26
13,45,26
13,45,26
13,45,26
13,45,26
12,44,25
12,44,25
12,44,25
12,44,25
13,45,26
13,45,26
13,45,26
13,45,26
14,46,27
14,46,27
14,46,27
15,47,28
15,47,28
15,47,28
16,48,29
14,49,29
15,50,30
14,51,31
14,51,31
15,52,32
15,52,32
16,53,33
16,53,33
16,53,33
17,56,35
16,55,34
16,55,34
16,55,34
17,56,35
18,57,36
19,58,37
20,59,38
18,60,37
18,60,37
18,60,37
18,60,37
19,61,38
19,61,38
20,62,39
20,62,39
18,60,37
19,61,38
19,61,38
19,61,38
20,62,39
21,63,40
21,63,40
21,63,40
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
19,61,38
19,61,38
21,63,40
21,63,40
19,61,38
18,60,37
18,60,37
19,61,38
20,62,39
20,62,39
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
20,62,39
21,63,40
22,64,41
22,64,41
22,64,41
22,64,41
21,63,40
20,62,39
22,64,39
22,64,39
22,64,39
22,64,39
22,64,39
23,65,40
24,66,43
24,66,43
22,66,43
23,67,44
23,67,44
22,66,43
22,65,44
22,65,44
24,67,46
25,68,47
23,69,47
21,68,46
20,67,45
20,67,45
21,68,46
22,69,47
22,69,47
22,69,47
22,69,47
22,69,47
23,70,48
22,69,47
22,69,47
21,68,46
20,67,45
20,67,45
22,70,46
22,70,46
22,70,46
22,70,46
22,70,46
22,70,46
22,70,46
22,70,46
23,71,47
23,71,47
22,70,46
22,70,46
22,70,46
22,70,46
22,70,46
22,70,46
22,69,43
21,68,42
20,66,43
20,66,43
19,65,42
19,65,42
19,65,42
20,66,43
20,64,41
21,65,42
22,65,44
21,64,43
19,62,41
18,61,40
18,61,40
21,62,41
22,61,40
20,59,38
19,58,37
19,58,37
20,57,37
20,57,37
19,56,36
18,55,35
20,55,35
19,54,34
21,53,34
20,52,33
19,51,32
19,51,32
20,50,31
20,50,31
20,50,31
20,50,31
20,50,31
19,49,30
18,47,31
18,47,31
17,46,30
17,46,30
19,46,30
19,46,30
18,44,30
18,44,30
17,43,29
16,42,28
15,41,27
15,40,26
18,39,30
19,38,29
17,36,27
16,35,26
15,34,25
15,34,25
15,34,25
16,35,26
16,33,24
15,32,23
15,32,23
14,31,22
13,30,21
13,30,21
13,30,21
13,30,21
12,28,21
11,27,20
10,26,19
10,26,19
11,27,20
11,27,20
10,26,19
9,25,18
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
9,25,18
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
9,25,18
11,27,20
11,27,20
10,26,19
10,26,19
10,26,19
10,26,19
11,27,20
11,27,20
11,27,20
10,26,19
10,26,19
9,25,18
10,24,18
10,24,18
10,24,18
11,25,19
12,26,20
13,27,21
13,29,22
14,30,23
13,31,24
14,32,25
12,33,25
10,33,25
12,36,26
11,36,26
11,36,26
12,37,27
13,37,29
14,38,30
14,38,30
15,39,31
14,41,32
14,41,32
15,41,35
16,42,36
16,42,36
17,43,37
17,43,37
17,43,37
15,42,38
15,42,39
15,42,39
15,42,39
16,43,40
17,44,41
17,43,43
18,44,44
19,43,43
20,44,44
20,43,45
21,44,46
21,44,46
21,44,46
21,44,46
21,44,46
26,47,49
27,46,49
26,47,49
26,47,49
25,48,50
24,49,51
23,51,52
21,51,52
22,52,53
18,52,52
17,51,51
14,50,50
12,50,50
14,52,52
15,55,54
16,56,55
20,58,58
23,61,61
26,64,64
28,68,67
28,69,71
28,72,73
31,75,76
31,77,78
31,79,80
32,82,82
33,84,86
34,88,89
36,90,91
36,92,93
39,95,96
39,96,97
41,98,99
40,100,100
40,102,102
42,104,104
40,105,103
40,105,103
38,105,102
37,104,101
35,105,99
37,107,101
38,108,102
38,108,102
39,107,100
40,108,101
41,109,102
43,111,104
14,37,29
13,36,28
12,35,27
12,35,27
11,35,25
11,35,25
11,35,25
11,35,25
11,36,26
11,36,26
11,36,26
11,36,26
12,38,25
13,39,26
14,40,27
14,40,26
13,42,27
13,42,26
11,43,26
12,44,27
13,45,28
13,45,28
12,46,29
12,46,29
11,47,30
11,47,30
11,47,30
11,47,30
11,49,31
11,49,31
12,50,32
12,50,32
10,51,30
10,51,30
11,52,31
12,53,32
12,53,32
13,54,33
13,54,33
13,54,33
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
11,54,33
12,55,34
14,55,34
14,55,34
13,54,33
12,53,32
12,53,32
11,52,31
13,54,33
12,53,32
13,52,31
13,52,31
12,51,30
12,51,30
12,51,30
12,51,30
11,52,31
11,52,31
13,52,31
13,52,31
12,51,30
11,50,29
11,48,28
11,48,28
11,48,28
10,47,27
12,47,27
12,47,27
13,45,26
14,46,27
14,46,27
14,46,27
12,44,25
12,44,25
13,45,26
13,45,26
13,45,26
13,45,26
13,45,26
14,46,27
14,46,27
15,47,28
15,47,28
15,47,28
16,48,29
16,48,29
16,48,29
15,50,30
16,51,31
14,51,31
15,52,32
15,52,32
16,53,33
16,53,33
17,54,34
17,54,34
15,54,33
15,54,33
16,55,34
16,55,34
17,56,35
17,56,35
18,57,36
18,57,36
18,60,37
18,60,37
18,60,37
18,60,37
19,61,38
19,61,38
20,62,39
20,62,39
18,60,37
18,60,37
19,61,38
19,61,38
19,61,38
20,62,39
20,62,39
20,62,39
19,61,38
20,62,39
20,62,39
21,63,40
21,63,40
21,63,40
20,62,39
20,62,39
22,64,41
21,63,40
20,62,39
19,61,38
19,61,38
19,61,38
20,62,39
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
22,64,41
22,64,41
22,64,41
22,64,41
22,64,41
22,64,41
21,63,40
24,66,41
24,66,41
23,65,40
23,65,40
22,64,39
23,65,40
23,65,42
23,65,42
21,65,42
22,66,43
23,67,44
22,66,43
22,65,44
23,66,45
24,67,46
26,69,48
23,69,47
22,68,46
21,67,45
21,67,45
23,69,47
24,70,48
23,69,47
23,69,47
21,67,45
22,68,46
22,68,46
23,69,47
23,69,47
23,69,47
23,69,47
22,68,46
21,69,45
21,69,45
21,69,45
21,69,45
21,69,45
21,69,45
21,69,45
21,69,45
21,69,45
21,69,45
21,69,45
21,69,45
21,69,45
20,68,44
20,68,44
20,68,44
21,67,44
20,66,43
20,66,43
19,65,42
19,65,42
19,65,42
19,65,42
19,65,42
19,62,41
20,63,42
20,63,42
19,62,41
18,61,40
17,60,39
19,60,39
20,61,40
21,60,39
20,59,38
19,56,36
19,56,36
20,57,37
19,56,36
20,55,35
19,54,34
18,53,33
18,53,33
19,51,32
19,51,32
20,50,31
19,49,30
19,49,30
19,49,30
20,50,31
20,50,31
19,48,32
18,47,31
18,47,31
17,46,30
17,46,30
17,46,30
18,45,29
18,45,29
18,44,30
18,44,30
17,43,29
16,42,28
15,41,27
15,40,26
17,38,29
18,37,28
17,36,27
15,34,25
15,34,25
14,33,24
15,34,25
15,34,25
15,32,23
14,31,22
14,31,22
13,30,21
12,29,20
12,29,20
12,29,20
12,29,20
12,28,21
11,27,20
10,26,19
10,26,19
11,27,20
11,27,20
10,26,19
9,25,18
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
9,25,18
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
9,25,18
11,27,20
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
11,27,20
11,27,20
10,26,19
10,26,19
9,25,18
10,24,18
10,24,18
10,24,18
11,25,19
11,25,19
12,26,20
12,28,21
14,30,23
13,31,24
14,32,25
12,33,25
10,33,25
12,36,26
12,37,27
12,37,27
12,37,27
12,36,28
13,37,29
13,37,29
13,37,29
13,40,31
14,41,32
14,40,34
15,41,35
16,42,36
16,42,36
16,42,36
16,42,36
14,41,37
14,41,37
14,41,38
15,42,39
15,42,39
16,43,40
17,43,43
17,43,43
20,44,44
20,44,44
21,44,46
22,45,47
23,46,48
23,46,48
23,46,48
23,46,48
27,48,50
27,48,50
27,48,50
27,48,50
26,49,51
25,50,52
24,52,53
23,53,54
26,56,57
22,56,56
21,55,55
19,55,55
17,55,55
18,56,56
18,58,57
18,58,57
21,59,59
23,61,61
26,65,67
29,68,70
30,71,73
31,75,76
34,78,79
34,80,81
32,80,81
34,84,84
35,86,88
36,90,91
38,92,93
37,93,94
39,95,96
40,97,98
44,101,102
43,103,103
43,105,105
44,106,106
43,107,107
42,106,106
41,108,105
40,107,104
38,108,102
39,109,103
39,109,103
39,109,103
41,109,102
42,110,103
44,112,105
45,113,106
15,38,30
15,38,30
14,37,29
14,37,29
14,38,28
14,38,28
13,37,27
13,37,27
12,37,27
12,37,27
12,37,27
12,37,27
13,39,26
14,40,27
14,40,27
13,42,27
13,42,27
13,42,26
12,44,27
12,44,27
13,45,28
14,46,29
12,46,29
12,46,29
11,47,30
11,47,30
11,47,30
12,48,31
11,49,31
12,50,32
12,50,32
12,50,32
10,51,30
10,51,30
11,52,31
12,53,32
13,54,33
13,54,33
13,54,33
13,54,33
12,53,32
12,53,32
13,54,33
13,54,33
13,54,33
13,54,33
13,54,33
13,54,33
12,55,34
12,55,34
14,55,34
14,55,34
14,55,34
13,54,33
12,53,32
12,53,32
12,53,32
12,53,32
14,53,32
13,52,31
13,52,31
13,52,31
13,52,31
13,52,31
11,52,31
11,52,31
14,53,32
13,52,31
13,52,31
12,51,30
12,49,29
12,49,29
10,47,27
10,47,27
12,47,27
12,47,27
14,46,27
14,46,27
15,47,28
15,47,28
13,45,26
13,45,26
13,45,26
13,45,26
14,46,27
14,46,27
14,46,27
14,46,27
15,47,28
15,47,28
16,48,29
16,48,29
16,48,29
17,49,30
17,49,30
15,50,30
16,51,31
14,51,31
14,51,31
15,52,32
15,52,32
16,53,33
16,53,33
17,54,34
14,53,32
15,54,33
16,55,34
16,55,34
17,56,35
17,56,35
17,56,35
17,56,35
18,60,37
18,60,37
18,60,37
18,60,37
19,61,38
19,61,38
20,62,39
20,62,39
19,61,38
19,61,38
19,61,38
19,61,38
20,62,39
20,62,39
20,62,39
20,62,39
19,61,38
19,61,38
20,62,39
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
22,64,41
21,63,40
21,63,40
20,62,39
20,62,39
20,62,39
20,62,39
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
22,64,41
22,64,41
22,64,41
22,64,41
21,63,40
21,63,40
24,66,41
23,65,40
23,65,40
22,64,39
22,64,39
22,64,39
23,65,42
23,65,42
21,65,42
22,66,43
23,67,44
23,67,44
22,65,44
23,66,45
24,67,46
25,68,47
23,69,47
22,68,46
21,67,45
21,67,45
22,68,46
23,69,47
22,68,46
22,68,46
21,67,45
21,67,45
22,68,46
22,68,46
22,68,46
22,68,46
22,68,46
22,68,46
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
21,69,45
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
21,67,44
21,67,44
20,66,43
19,65,42
19,65,42
19,65,42
19,65,42
19,65,42
18,61,40
19,62,41
18,61,40
18,61,40
17,60,39
16,59,38
18,59,38
18,59,38
20,59,38
19,58,37
18,55,35
18,55,35
19,56,36
18,55,35
19,54,34
18,53,33
17,52,32
17,52,32
18,50,31
18,50,31
19,49,30
19,49,30
19,49,30
18,48,29
19,49,30
19,49,30
18,47,31
18,47,31
17,46,30
17,46,30
16,45,29
16,45,29
18,45,29
18,45,29
18,44,30
17,43,29
16,42,28
15,41,27
14,40,26
15,40,26
16,37,28
18,37,28
16,35,26
15,34,25
14,33,24
14,33,24
14,33,24
14,33,24
15,32,23
14,31,22
13,30,21
13,30,21
12,29,20
12,29,20
12,29,20
12,29,20
12,28,21
11,27,20
10,26,19
10,26,19
11,27,20
11,27,20
10,26,19
9,25,18
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
9,25,18
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
9,25,18
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
9,25,18
9,25,18
10,24,18
10,24,18
10,24,18
10,24,18
11,25,19
11,25,19
12,28,21
13,29,22
13,31,24
14,32,25
12,33,25
13,34,26
12,36,26
11,36,26
11,36,26
12,37,27
12,36,28
12,36,28
13,37,29
13,37,29
12,39,30
13,40,31
14,40,34
14,40,34
15,41,35
15,41,35
15,41,35
15,41,35
14,41,37
14,41,37
14,41,38
15,42,39
15,42,39
16,43,40
17,43,43
18,44,44
20,44,44
20,44,44
21,44,46
22,45,47
23,46,48
24,47,49
24,47,49
24,47,49
27,48,50
27,48,50
28,49,51
26,49,51
25,50,52
27,52,54
26,54,55
24,54,55
26,57,58
24,58,58
22,58,58
23,59,59
21,59,59
22,60,60
21,61,60
21,61,60
23,61,61
25,63,63
27,66,68
30,69,71
30,71,73
31,75,76
35,79,80
33,81,82
34,82,83
36,86,86
37,88,90
38,92,93
40,94,95
39,95,96
41,97,98
41,98,99
46,103,104
45,105,105
45,107,107
46,108,108
45,109,109
45,109,109
43,110,107
42,109,106
41,111,105
40,110,104
40,110,104
39,109,103
42,110,103
43,111,104
45,113,106
47,115,108
15,38,30
15,38,30
15,39,29
15,39,29
15,39,29
15,39,29
13,38,28
13,38,28
13,38,28
13,38,28
13,39,26
13,39,26
12,40,27
12,40,27
13,41,28
14,43,28
14,43,28
12,44,27
13,45,28
13,45,28
12,46,29
12,46,29
13,47,30
13,47,30
11,47,30
11,47,30
11,49,31
11,49,31
12,50,32
12,50,32
12,50,32
12,50,32
10,51,30
8,51,30
9,52,31
10,53,32
10,53,32
11,54,33
11,54,33
11,54,33
11,54,33
11,54,33
11,54,33
11,54,33
11,54,33
12,55,34
12,55,34
12,55,34
12,55,34
13,56,35
13,56,35
13,56,35
14,55,34
14,55,34
13,54,33
12,53,32
12,53,32
12,53,32
12,53,32
12,53,32
14,53,32
14,53,32
14,53,32
14,53,32
11,52,31
11,52,31
11,52,31
11,52,31
13,52,31
12,51,30
12,49,29
12,49,29
11,48,28
10,47,27
12,47,27
12,47,27
12,47,27
13,48,28
15,47,28
15,47,28
14,46,27
14,46,27
14,46,27
14,46,27
14,46,27
14,46,27
14,46,27
14,46,27
15,47,28
16,48,29
16,48,29
16,48,29
17,49,30
17,49,30
17,49,30
15,50,30
15,50,30
13,50,30
13,50,30
14,51,31
15,52,32
15,52,32
16,53,33
16,53,33
14,53,32
15,54,33
16,55,34
16,55,34
17,56,35
17,56,35
17,56,35
17,56,35
18,60,37
18,60,37
18,60,37
18,60,37
19,61,38
19,61,38
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
21,63,40
21,63,40
19,61,38
20,62,39
20,62,39
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
20,62,39
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
21,63,40
22,64,39
21,63,38
21,63,38
21,63,38
22,64,39
22,64,39
23,65,42
23,65,42
22,66,43
23,67,44
24,68,45
24,68,45
23,66,45
22,65,44
22,65,44
23,66,45
22,68,46
21,67,45
20,66,44
21,67,45
22,68,46
22,68,46
21,67,45
20,66,44
22,68,46
22,68,46
22,68,46
22,68,46
22,68,46
21,67,45
20,66,44
20,66,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
20,68,44
19,67,43
19,67,43
19,67,43
20,66,43
20,66,43
19,65,42
18,64,41
20,64,41
20,64,41
20,64,41
20,64,41
18,61,40
17,60,39
19,60,39
18,59,38
18,59,38
17,58,37
17,58,37
16,57,36
19,58,37
18,55,35
17,54,34
17,54,34
19,54,34
19,54,34
18,53,33
17,52,32
18,50,31
18,50,31
20,50,31
20,50,31
19,49,30
19,49,30
19,49,30
18,48,29
18,47,31
18,47,31
17,46,30
17,46,30
16,45,29
16,45,29
17,44,28
17,44,28
17,43,29
17,43,29
17,43,29
16,42,28
17,42,28
16,41,27
15,40,26
14,39,25
15,36,27
17,36,27
16,35,26
15,34,25
14,33,24
14,33,24
13,32,23
13,32,23
15,32,23
15,32,23
14,31,22
13,30,21
12,29,20
12,29,20
12,29,20
12,29,20
12,28,21
11,27,20
10,26,19
10,26,19
11,27,20
11,27,20
10,26,19
9,25,18
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
9,25,18
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
9,25,18
9,25,18
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
10,26,19
9,25,18
10,26,19
10,26,19
10,24,18
10,24,18
9,23,17
10,24,18
12,24,18
12,24,18
10,24,18
11,25,19
12,28,21
13,29,22
13,31,24
14,32,25
12,33,25
12,33,25
10,34,24
10,34,24
11,35,25
12,36,26
12,36,28
12,36,28
13,37,29
13,37,29
13,37,29
14,38,30
13,39,33
14,40,34
14,40,34
15,41,35
15,41,35
15,41,35
16,41,37
16,41,37
16,41,37
17,42,38
18,42,40
19,43,41
20,44,44
21,45,45
17,43,43
18,44,44
19,44,46
21,46,48
22,47,49
23,48,50
23,48,52
23,48,52
27,50,52
27,50,52
27,50,52
28,51,53
27,52,54
28,53,55
28,56,57
26,56,57
26,57,58
25,59,59
24,60,60
25,61,61
24,62,62
24,64,63
25,65,64
25,65,64
25,64,66
27,66,68
29,68,70
31,70,72
30,71,73
31,75,76
34,78,79
32,80,81
36,84,86
37,86,88
39,90,92
40,94,95
42,96,97
41,97,98
43,99,100
44,101,102
48,105,107
47,106,108
47,109,109
48,110,110
47,111,111
47,111,111
45,112,109
44,111,108
43,112,109
42,111,108
41,111,105
40,110,104
41,111,104
43,113,106
46,114,107
47,115,108
14,37,29
14,37,29
15,39,29
15,39,29
15,39,29
15,39,29
13,38,28
13,38,28
13,38,28
13,38,28
13,39,26
14,40,27
12,40,27
13,41,28
14,42,29
15,44,29
13,44,29
13,45,28
14,46,29
14,46,29
